NEIGHBOURHOOD_158,HOOD_158,OFFENCE_YEAR,OFFENCE_CATEGORY,Total_Tickets
Church-Wellesley,167,2018,Other HTA,620
Church-Wellesley,167,2018,Speeding,2
Church-Wellesley,167,2019,Aggressive Driving,1887
Church-Wellesley,167,2019,All CAIA,312
Church-Wellesley,167,2019,Distracted Driving,90
Church-Wellesley,167,2019,Other HTA,695
Church-Wellesley,167,2019,Speeding,4
Church-Wellesley,167,2020,Aggressive Driving,652
Church-Wellesley,167,2020,All CAIA,122
Church-Wellesley,167,2020,Distracted Driving,38
Church-Wellesley,167,2020,Other HTA,347
Church-Wellesley,167,2020,Speeding,30
Church-Wellesley,167,2021,Aggressive Driving,132
Church-Wellesley,167,2021,All CAIA,113
Church-Wellesley,167,2021,Distracted Driving,45
Church-Wellesley,167,2021,Other HTA,154
Church-Wellesley,167,2021,Speeding,98
Church-Wellesley,167,2022,Aggressive Driving,127
Church-Wellesley,167,2022,All CAIA,130
Church-Wellesley,167,2022,Distracted Driving,22
Church-Wellesley,167,2022,Other HTA,189
Church-Wellesley,167,2022,Speeding,30
Church-Wellesley,167,2023,Aggressive Driving,78
Church-Wellesley,167,2023,All CAIA,43
Church-Wellesley,167,2023,Distracted Driving,31
Church-Wellesley,167,2023,Other HTA,312
Church-Wellesley,167,2023,Speeding,13
Clairlea-Birchmount,120,2014,Aggressive Driving,265
Clairlea-Birchmount,120,2014,All CAIA,227
Clairlea-Birchmount,120,2014,Distracted Driving,75
Clairlea-Birchmount,120,2014,Other HTA,669
Clairlea-Birchmount,120,2014,Speeding,255
Clairlea-Birchmount,120,2015,Aggressive Driving,275
Clairlea-Birchmount,120,2015,All CAIA,369
Clairlea-Birchmount,120,2015,Distracted Driving,103
Clairlea-Birchmount,120,2015,Other HTA,1039
Clairlea-Birchmount,120,2015,Speeding,1265
Clairlea-Birchmount,120,2016,Aggressive Driving,283
Clairlea-Birchmount,120,2016,All CAIA,512
Clairlea-Birchmount,120,2016,Distracted Driving,94
Clairlea-Birchmount,120,2016,Other HTA,1312
Clairlea-Birchmount,120,2016,Speeding,1184
Clairlea-Birchmount,120,2017,Aggressive Driving,228
Clairlea-Birchmount,120,2017,All CAIA,382
Clairlea-Birchmount,120,2017,Distracted Driving,70
Clairlea-Birchmount,120,2017,Other HTA,1027
Clairlea-Birchmount,120,2017,Speeding,540
Clairlea-Birchmount,120,2018,Aggressive Driving,285
Clairlea-Birchmount,120,2018,All CAIA,265
Clairlea-Birchmount,120,2018,Distracted Driving,80
Clairlea-Birchmount,120,2018,Other HTA,820
Clairlea-Birchmount,120,2018,Speeding,500
Clairlea-Birchmount,120,2019,Aggressive Driving,320
Clairlea-Birchmount,120,2019,All CAIA,267
Clairlea-Birchmount,120,2019,Distracted Driving,78
Clairlea-Birchmount,120,2019,Other HTA,815
Clairlea-Birchmount,120,2019,Speeding,442
Clairlea-Birchmount,120,2020,Aggressive Driving,226
Clairlea-Birchmount,120,2020,All CAIA,251
Clairlea-Birchmount,120,2020,Distracted Driving,48
Clairlea-Birchmount,120,2020,Other HTA,619
Clairlea-Birchmount,120,2020,Speeding,1655
Clairlea-Birchmount,120,2021,Aggressive Driving,184
Clairlea-Birchmount,120,2021,All CAIA,418
Clairlea-Birchmount,120,2021,Distracted Driving,73
Clairlea-Birchmount,120,2021,Other HTA,1073
Clairlea-Birchmount,120,2021,Speeding,1732
Clairlea-Birchmount,120,2022,Aggressive Driving,157
Clairlea-Birchmount,120,2022,All CAIA,149
Clairlea-Birchmount,120,2022,Distracted Driving,75
Clairlea-Birchmount,120,2022,Other HTA,466
Clairlea-Birchmount,120,2022,Speeding,988
Clairlea-Birchmount,120,2023,Aggressive Driving,147
Clairlea-Birchmount,120,2023,All CAIA,171
Clairlea-Birchmount,120,2023,Distracted Driving,97
Clairlea-Birchmount,120,2023,Other HTA,521
Clairlea-Birchmount,120,2023,Speeding,1089
Clanton Park,33,2014,Aggressive Driving,165
Clanton Park,33,2014,All CAIA,52
Clanton Park,33,2014,Distracted Driving,14
Clanton Park,33,2014,Other HTA,150
Clanton Park,33,2014,Speeding,11
Clanton Park,33,2015,Aggressive Driving,141
Clanton Park,33,2015,All CAIA,87
Clanton Park,33,2015,Distracted Driving,19
Clanton Park,33,2015,Other HTA,179
Clanton Park,33,2015,Speeding,37
Clanton Park,33,2016,Aggressive Driving,255
Clanton Park,33,2016,All CAIA,89
Clanton Park,33,2016,Distracted Driving,14
Clanton Park,33,2016,Other HTA,203
Clanton Park,33,2016,Speeding,69
Clanton Park,33,2017,Aggressive Driving,104
Clanton Park,33,2017,All CAIA,45
Clanton Park,33,2017,Distracted Driving,10
Clanton Park,33,2017,Other HTA,140
Clanton Park,33,2017,Speeding,39
Clanton Park,33,2018,Aggressive Driving,75
Clanton Park,33,2018,All CAIA,42
Clanton Park,33,2018,Distracted Driving,33
Clanton Park,33,2018,Other HTA,211
Clanton Park,33,2018,Speeding,144
Clanton Park,33,2019,Aggressive Driving,104
Clanton Park,33,2019,All CAIA,39
Clanton Park,33,2019,Distracted Driving,11
Clanton Park,33,2019,Other HTA,94
Clanton Park,33,2019,Speeding,61
Clanton Park,33,2020,Aggressive Driving,68
Clanton Park,33,2020,All CAIA,52
Clanton Park,33,2020,Distracted Driving,7
Clanton Park,33,2020,Other HTA,90
Clanton Park,33,2020,Speeding,493
Clanton Park,33,2021,Aggressive Driving,56
Clanton Park,33,2021,All CAIA,163
Clanton Park,33,2021,Distracted Driving,14
Clanton Park,33,2021,Other HTA,297
Clanton Park,33,2021,Speeding,1645
Clanton Park,33,2022,Aggressive Driving,78
Clanton Park,33,2022,All CAIA,52
Clanton Park,33,2022,Distracted Driving,5
Clanton Park,33,2022,Other HTA,196
Clanton Park,33,2022,Speeding,492
Clanton Park,33,2023,Aggressive Driving,64
Clanton Park,33,2023,All CAIA,56
Clanton Park,33,2023,Distracted Driving,7
Clanton Park,33,2023,Other HTA,192
Clanton Park,33,2023,Speeding,408
Cliffcrest,123,2014,Aggressive Driving,55
Cliffcrest,123,2014,All CAIA,35
Cliffcrest,123,2014,Distracted Driving,17
Cliffcrest,123,2014,Other HTA,157
Cliffcrest,123,2014,Speeding,104
Cliffcrest,123,2015,Aggressive Driving,77
Cliffcrest,123,2015,All CAIA,67
Cliffcrest,123,2015,Distracted Driving,10
Cliffcrest,123,2015,Other HTA,173
Cliffcrest,123,2015,Speeding,229
Cliffcrest,123,2016,Aggressive Driving,86
Cliffcrest,123,2016,All CAIA,72
Cliffcrest,123,2016,Distracted Driving,11
Cliffcrest,123,2016,Other HTA,211
Cliffcrest,123,2016,Speeding,218
Cliffcrest,123,2017,Aggressive Driving,113
Cliffcrest,123,2017,All CAIA,52
Cliffcrest,123,2017,Distracted Driving,19
Cliffcrest,123,2017,Other HTA,189
Cliffcrest,123,2017,Speeding,116
Cliffcrest,123,2018,Aggressive Driving,88
Cliffcrest,123,2018,All CAIA,60
Cliffcrest,123,2018,Distracted Driving,11
Cliffcrest,123,2018,Other HTA,226
Cliffcrest,123,2018,Speeding,117
Cliffcrest,123,2019,Aggressive Driving,351
Cliffcrest,123,2019,All CAIA,94
Cliffcrest,123,2019,Distracted Driving,10
Cliffcrest,123,2019,Other HTA,313
Cliffcrest,123,2019,Speeding,180
Cliffcrest,123,2020,Aggressive Driving,488
Cliffcrest,123,2020,All CAIA,138
Cliffcrest,123,2020,Distracted Driving,8
Cliffcrest,123,2020,Other HTA,312
Cliffcrest,123,2020,Speeding,366
Cliffcrest,123,2021,Aggressive Driving,277
Cliffcrest,123,2021,All CAIA,85
Cliffcrest,123,2021,Distracted Driving,31
Cliffcrest,123,2021,Other HTA,223
Cliffcrest,123,2021,Speeding,202
Cliffcrest,123,2022,Aggressive Driving,217
Cliffcrest,123,2022,All CAIA,46
Cliffcrest,123,2022,Distracted Driving,23
Cliffcrest,123,2022,Other HTA,162
Cliffcrest,123,2022,Speeding,181
Cliffcrest,123,2023,Aggressive Driving,132
Cliffcrest,123,2023,All CAIA,59
Cliffcrest,123,2023,Distracted Driving,20
Cliffcrest,123,2023,Other HTA,252
Cliffcrest,123,2023,Speeding,91
Corso Italia-Davenport,92,2014,Aggressive Driving,79
Corso Italia-Davenport,92,2014,All CAIA,70
Corso Italia-Davenport,92,2014,Distracted Driving,51
Corso Italia-Davenport,92,2014,Other HTA,258
Corso Italia-Davenport,92,2014,Speeding,2
Corso Italia-Davenport,92,2015,Aggressive Driving,86
Corso Italia-Davenport,92,2015,All CAIA,65
Corso Italia-Davenport,92,2015,Distracted Driving,32
Corso Italia-Davenport,92,2015,Other HTA,203
Corso Italia-Davenport,92,2015,Speeding,22
Corso Italia-Davenport,92,2016,Aggressive Driving,125
Corso Italia-Davenport,92,2016,All CAIA,93
Corso Italia-Davenport,92,2016,Distracted Driving,41
Corso Italia-Davenport,92,2016,Other HTA,332
Corso Italia-Davenport,92,2016,Speeding,147
Corso Italia-Davenport,92,2017,Aggressive Driving,70
Corso Italia-Davenport,92,2017,All CAIA,82
Corso Italia-Davenport,92,2017,Distracted Driving,28
Corso Italia-Davenport,92,2017,Other HTA,305
Corso Italia-Davenport,92,2017,Speeding,118
Corso Italia-Davenport,92,2018,Aggressive Driving,76
Corso Italia-Davenport,92,2018,All CAIA,79
Corso Italia-Davenport,92,2018,Distracted Driving,22
Corso Italia-Davenport,92,2018,Other HTA,254
Corso Italia-Davenport,92,2018,Speeding,121
Corso Italia-Davenport,92,2019,Aggressive Driving,58
Corso Italia-Davenport,92,2019,All CAIA,56
Corso Italia-Davenport,92,2019,Distracted Driving,15
Corso Italia-Davenport,92,2019,Other HTA,211
Corso Italia-Davenport,92,2019,Speeding,45
Corso Italia-Davenport,92,2020,Aggressive Driving,44
Corso Italia-Davenport,92,2020,All CAIA,47
Corso Italia-Davenport,92,2020,Distracted Driving,8
Corso Italia-Davenport,92,2020,Other HTA,138
Corso Italia-Davenport,92,2020,Speeding,82
Corso Italia-Davenport,92,2021,Aggressive Driving,33
Corso Italia-Davenport,92,2021,All CAIA,35
Corso Italia-Davenport,92,2021,Distracted Driving,13
Corso Italia-Davenport,92,2021,Other HTA,107
Corso Italia-Davenport,92,2021,Speeding,39
Corso Italia-Davenport,92,2022,Aggressive Driving,43
Corso Italia-Davenport,92,2022,All CAIA,23
Corso Italia-Davenport,92,2022,Distracted Driving,39
Corso Italia-Davenport,92,2022,Other HTA,110
Corso Italia-Davenport,92,2022,Speeding,51
Corso Italia-Davenport,92,2023,Aggressive Driving,45
Corso Italia-Davenport,92,2023,All CAIA,34
Corso Italia-Davenport,92,2023,Distracted Driving,28
Corso Italia-Davenport,92,2023,Other HTA,136
Corso Italia-Davenport,92,2023,Speeding,14
Danforth,66,2014,Aggressive Driving,22
Danforth,66,2014,All CAIA,31
Danforth,66,2014,Distracted Driving,8
Danforth,66,2014,Other HTA,106
Danforth,66,2014,Speeding,1
Danforth,66,2015,Aggressive Driving,21
Danforth,66,2015,All CAIA,23
Danforth,66,2015,Distracted Driving,8
Danforth,66,2015,Other HTA,131
Danforth,66,2015,Speeding,1
Danforth,66,2016,Aggressive Driving,33
Danforth,66,2016,All CAIA,29
Danforth,66,2016,Distracted Driving,8
Danforth,66,2016,Other HTA,114
Danforth,66,2016,Speeding,16
Danforth,66,2017,Aggressive Driving,18
Danforth,66,2017,All CAIA,37
Danforth,66,2017,Distracted Driving,5
Danforth,66,2017,Other HTA,139
Danforth,66,2017,Speeding,31
Danforth,66,2018,Aggressive Driving,55
Danforth,66,2018,All CAIA,27
Danforth,66,2018,Distracted Driving,16
Danforth,66,2018,Other HTA,154
Danforth,66,2018,Speeding,52
Danforth,66,2019,Aggressive Driving,41
Danforth,66,2019,All CAIA,26
Danforth,66,2019,Distracted Driving,6
Danforth,66,2019,Other HTA,118
Danforth,66,2019,Speeding,26
Danforth,66,2020,Aggressive Driving,49
Danforth,66,2020,All CAIA,22
Danforth,66,2020,Distracted Driving,3
Danforth,66,2020,Other HTA,85
Danforth,66,2020,Speeding,18
Danforth,66,2021,Aggressive Driving,23
Danforth,66,2021,All CAIA,19
Danforth,66,2021,Distracted Driving,5
Danforth,66,2021,Other HTA,62
Danforth,66,2021,Speeding,18
Danforth,66,2022,Aggressive Driving,35
Danforth,66,2022,All CAIA,10
Danforth,66,2022,Distracted Driving,3
Danforth,66,2022,Other HTA,37
Danforth,66,2022,Speeding,1
Danforth,66,2023,Aggressive Driving,78
Danforth,66,2023,All CAIA,21
Danforth,66,2023,Distracted Driving,6
Danforth,66,2023,Other HTA,102
Danforth,66,2023,Speeding,3
Danforth East York,59,2014,Aggressive Driving,139
Danforth East York,59,2014,All CAIA,44
Danforth East York,59,2014,Distracted Driving,26
Danforth East York,59,2014,Other HTA,137
Danforth East York,59,2014,Speeding,56
Danforth East York,59,2015,Aggressive Driving,123
Danforth East York,59,2015,All CAIA,35
Danforth East York,59,2015,Distracted Driving,21
Danforth East York,59,2015,Other HTA,138
Danforth East York,59,2015,Speeding,46
Danforth East York,59,2016,Aggressive Driving,150
Danforth East York,59,2016,All CAIA,50
Danforth East York,59,2016,Distracted Driving,19
Danforth East York,59,2016,Other HTA,176
Danforth East York,59,2016,Speeding,12
Danforth East York,59,2017,Aggressive Driving,120
Danforth East York,59,2017,All CAIA,63
Danforth East York,59,2017,Distracted Driving,12
Danforth East York,59,2017,Other HTA,204
Danforth East York,59,2017,Speeding,10
Danforth East York,59,2018,Aggressive Driving,136
Danforth East York,59,2018,All CAIA,62
Danforth East York,59,2018,Distracted Driving,18
Danforth East York,59,2018,Other HTA,199
Danforth East York,59,2018,Speeding,143
Danforth East York,59,2019,Aggressive Driving,100
Danforth East York,59,2019,All CAIA,70
Danforth East York,59,2019,Distracted Driving,9
Danforth East York,59,2019,Other HTA,217
Danforth East York,59,2019,Speeding,109
Danforth East York,59,2020,Aggressive Driving,55
Danforth East York,59,2020,All CAIA,57
Danforth East York,59,2020,Distracted Driving,5
Danforth East York,59,2020,Other HTA,144
Danforth East York,59,2020,Speeding,206
Danforth East York,59,2021,Aggressive Driving,63
Danforth East York,59,2021,All CAIA,37
Danforth East York,59,2021,Distracted Driving,8
Danforth East York,59,2021,Other HTA,125
Danforth East York,59,2021,Speeding,255
Danforth East York,59,2022,Aggressive Driving,98
Danforth East York,59,2022,All CAIA,30
Danforth East York,59,2022,Distracted Driving,4
Danforth East York,59,2022,Other HTA,94
Danforth East York,59,2022,Speeding,118
Danforth East York,59,2023,Aggressive Driving,145
Danforth East York,59,2023,All CAIA,30
Danforth East York,59,2023,Distracted Driving,6
Danforth East York,59,2023,Other HTA,93
Danforth East York,59,2023,Speeding,7
Don Valley Village,47,2014,Aggressive Driving,325
Don Valley Village,47,2014,All CAIA,95
Don Valley Village,47,2014,Distracted Driving,24
Don Valley Village,47,2014,Other HTA,221
Don Valley Village,47,2014,Speeding,17
Don Valley Village,47,2015,Aggressive Driving,289
Don Valley Village,47,2015,All CAIA,86
Don Valley Village,47,2015,Distracted Driving,31
Don Valley Village,47,2015,Other HTA,249
Don Valley Village,47,2015,Speeding,73
Don Valley Village,47,2016,Aggressive Driving,322
Don Valley Village,47,2016,All CAIA,104
Don Valley Village,47,2016,Distracted Driving,30
Don Valley Village,47,2016,Other HTA,242
Don Valley Village,47,2016,Speeding,85
Don Valley Village,47,2017,Aggressive Driving,191
Don Valley Village,47,2017,All CAIA,104
Don Valley Village,47,2017,Distracted Driving,34
Don Valley Village,47,2017,Other HTA,247
Don Valley Village,47,2017,Speeding,53
Don Valley Village,47,2018,Aggressive Driving,169
Don Valley Village,47,2018,All CAIA,88
Don Valley Village,47,2018,Distracted Driving,26
Don Valley Village,47,2018,Other HTA,255
Don Valley Village,47,2018,Speeding,35
Don Valley Village,47,2019,Aggressive Driving,99
Don Valley Village,47,2019,All CAIA,56
Don Valley Village,47,2019,Distracted Driving,17
Don Valley Village,47,2019,Other HTA,229
Don Valley Village,47,2019,Speeding,18
Don Valley Village,47,2020,Aggressive Driving,137
Don Valley Village,47,2020,All CAIA,83
Don Valley Village,47,2020,Distracted Driving,18
Don Valley Village,47,2020,Other HTA,178
Don Valley Village,47,2020,Speeding,374
Don Valley Village,47,2021,Aggressive Driving,105
Don Valley Village,47,2021,All CAIA,48
Don Valley Village,47,2021,Distracted Driving,36
Don Valley Village,47,2021,Other HTA,103
Don Valley Village,47,2021,Speeding,90
Don Valley Village,47,2022,Aggressive Driving,144
Don Valley Village,47,2022,All CAIA,42
Don Valley Village,47,2022,Distracted Driving,63
Don Valley Village,47,2022,Other HTA,127
Don Valley Village,47,2022,Speeding,36
Don Valley Village,47,2023,Aggressive Driving,311
Don Valley Village,47,2023,All CAIA,81
Don Valley Village,47,2023,Distracted Driving,86
Don Valley Village,47,2023,Other HTA,243
Don Valley Village,47,2023,Speeding,90
Dorset Park,126,2014,Aggressive Driving,402
Dorset Park,126,2014,All CAIA,185
Dorset Park,126,2014,Distracted Driving,163
Dorset Park,126,2014,Other HTA,664
Dorset Park,126,2014,Speeding,132
Dorset Park,126,2015,Aggressive Driving,545
Dorset Park,126,2015,All CAIA,289
Dorset Park,126,2015,Distracted Driving,193
Dorset Park,126,2015,Other HTA,926
Dorset Park,126,2015,Speeding,164
Dorset Park,126,2016,Aggressive Driving,484
Dorset Park,126,2016,All CAIA,252
Dorset Park,126,2016,Distracted Driving,185
Dorset Park,126,2016,Other HTA,864
Dorset Park,126,2016,Speeding,258
Dorset Park,126,2017,Aggressive Driving,306
Dorset Park,126,2017,All CAIA,188
Dorset Park,126,2017,Distracted Driving,68
Dorset Park,126,2017,Other HTA,622
Dorset Park,126,2017,Speeding,178
Dorset Park,126,2018,Aggressive Driving,263
Dorset Park,126,2018,All CAIA,194
Dorset Park,126,2018,Distracted Driving,75
Dorset Park,126,2018,Other HTA,591
Dorset Park,126,2018,Speeding,249
Dorset Park,126,2019,Aggressive Driving,397
Dorset Park,126,2019,All CAIA,251
Dorset Park,126,2019,Distracted Driving,97
Dorset Park,126,2019,Other HTA,946
Dorset Park,126,2019,Speeding,503
Dorset Park,126,2020,Aggressive Driving,463
Dorset Park,126,2020,All CAIA,426
Dorset Park,126,2020,Distracted Driving,101
Dorset Park,126,2020,Other HTA,1198
Dorset Park,126,2020,Speeding,2074
Dorset Park,126,2021,Aggressive Driving,482
Dorset Park,126,2021,All CAIA,458
Dorset Park,126,2021,Distracted Driving,161
Dorset Park,126,2021,Other HTA,1221
Dorset Park,126,2021,Speeding,2973
Dorset Park,126,2022,Aggressive Driving,380
Dorset Park,126,2022,All CAIA,317
Dorset Park,126,2022,Distracted Driving,144
Dorset Park,126,2022,Other HTA,1110
Dorset Park,126,2022,Speeding,2121
Dorset Park,126,2023,Aggressive Driving,365
Dorset Park,126,2023,All CAIA,251
Dorset Park,126,2023,Distracted Driving,169
Dorset Park,126,2023,Other HTA,978
Dorset Park,126,2023,Speeding,1505
Dovercourt Village,172,2014,Aggressive Driving,174
Dovercourt Village,172,2014,All CAIA,50
Dovercourt Village,172,2014,Distracted Driving,19
Dovercourt Village,172,2014,Other HTA,99
Dovercourt Village,172,2014,Speeding,8
Dovercourt Village,172,2015,Aggressive Driving,360
Dovercourt Village,172,2015,All CAIA,55
Dovercourt Village,172,2015,Distracted Driving,11
Dovercourt Village,172,2015,Other HTA,167
Dovercourt Village,172,2015,Speeding,28
Dovercourt Village,172,2016,Aggressive Driving,230
Dovercourt Village,172,2016,All CAIA,44
Dovercourt Village,172,2016,Distracted Driving,14
Dovercourt Village,172,2016,Other HTA,108
Dovercourt Village,172,2016,Speeding,10
Dovercourt Village,172,2017,Aggressive Driving,257
Dovercourt Village,172,2017,All CAIA,50
Dovercourt Village,172,2017,Distracted Driving,9
Dovercourt Village,172,2017,Other HTA,149
Dovercourt Village,172,2017,Speeding,11
Dovercourt Village,172,2018,Aggressive Driving,99
Dovercourt Village,172,2018,All CAIA,19
Dovercourt Village,172,2018,Distracted Driving,11
Dovercourt Village,172,2018,Other HTA,63
Dovercourt Village,172,2018,Speeding,40
Dovercourt Village,172,2019,Aggressive Driving,73
Dovercourt Village,172,2019,All CAIA,26
Dovercourt Village,172,2019,Distracted Driving,7
Dovercourt Village,172,2019,Other HTA,66
Dovercourt Village,172,2019,Speeding,9
Dovercourt Village,172,2020,Aggressive Driving,188
Dovercourt Village,172,2020,All CAIA,31
Dovercourt Village,172,2020,Distracted Driving,12
Dovercourt Village,172,2020,Other HTA,107
Dovercourt Village,172,2020,Speeding,16
Dovercourt Village,172,2021,Aggressive Driving,104
Dovercourt Village,172,2021,All CAIA,26
Dovercourt Village,172,2021,Distracted Driving,15
Dovercourt Village,172,2021,Other HTA,70
Dovercourt Village,172,2021,Speeding,25
Dovercourt Village,172,2022,Aggressive Driving,218
Dovercourt Village,172,2022,All CAIA,22
Dovercourt Village,172,2022,Distracted Driving,12
Dovercourt Village,172,2022,Other HTA,107
Dovercourt Village,172,2022,Speeding,23
Dovercourt Village,172,2023,Aggressive Driving,188
Dovercourt Village,172,2023,All CAIA,57
Dovercourt Village,172,2023,Distracted Driving,27
Dovercourt Village,172,2023,Other HTA,320
Dovercourt Village,172,2023,Speeding,63
Downsview,155,2014,Aggressive Driving,152
Downsview,155,2014,All CAIA,227
Downsview,155,2014,Distracted Driving,30
Downsview,155,2014,Other HTA,402
Downsview,155,2014,Speeding,740
Downsview,155,2015,Aggressive Driving,82
Downsview,155,2015,All CAIA,150
Downsview,155,2015,Distracted Driving,21
Downsview,155,2015,Other HTA,301
Downsview,155,2015,Speeding,460
Downsview,155,2016,Aggressive Driving,98
Downsview,155,2016,All CAIA,125
Downsview,155,2016,Distracted Driving,21
Downsview,155,2016,Other HTA,284
Downsview,155,2016,Speeding,363
Downsview,155,2017,Aggressive Driving,97
Downsview,155,2017,All CAIA,134
Downsview,155,2017,Distracted Driving,11
Downsview,155,2017,Other HTA,363
Downsview,155,2017,Speeding,353
Downsview,155,2018,Aggressive Driving,118
Downsview,155,2018,All CAIA,75
Downsview,155,2018,Distracted Driving,32
Downsview,155,2018,Other HTA,276
Downsview,155,2018,Speeding,179
Downsview,155,2019,Aggressive Driving,200
Downsview,155,2019,All CAIA,89
Downsview,155,2019,Distracted Driving,24
Downsview,155,2019,Other HTA,207
Downsview,155,2019,Speeding,209
Downsview,155,2020,Aggressive Driving,169
Downsview,155,2020,All CAIA,66
Downsview,155,2020,Distracted Driving,7
Downsview,155,2020,Other HTA,170
Downsview,155,2020,Speeding,393
Downsview,155,2021,Aggressive Driving,106
Downsview,155,2021,All CAIA,35
Downsview,155,2021,Distracted Driving,31
Downsview,155,2021,Other HTA,160
Downsview,155,2021,Speeding,564
Downsview,155,2022,Aggressive Driving,211
Downsview,155,2022,All CAIA,51
Downsview,155,2022,Distracted Driving,39
Downsview,155,2022,Other HTA,201
Downsview,155,2022,Speeding,350
Downsview,155,2023,Aggressive Driving,275
Downsview,155,2023,All CAIA,75
Downsview,155,2023,Distracted Driving,21
Downsview,155,2023,Other HTA,247
Downsview,155,2023,Speeding,243
Downtown Yonge East,168,2014,Aggressive Driving,858
Downtown Yonge East,168,2014,All CAIA,174
Downtown Yonge East,168,2014,Distracted Driving,220
Downtown Yonge East,168,2014,Other HTA,700
Downtown Yonge East,168,2014,Speeding,4
Downtown Yonge East,168,2015,Aggressive Driving,843
Downtown Yonge East,168,2015,All CAIA,180
Downtown Yonge East,168,2015,Distracted Driving,228
Downtown Yonge East,168,2015,Other HTA,612
Downtown Yonge East,168,2015,Speeding,4
Downtown Yonge East,168,2016,Aggressive Driving,901
Downtown Yonge East,168,2016,All CAIA,225
Downtown Yonge East,168,2016,Distracted Driving,339
Downtown Yonge East,168,2016,Other HTA,789
Downtown Yonge East,168,2016,Speeding,3
Downtown Yonge East,168,2017,Aggressive Driving,1116
Downtown Yonge East,168,2017,All CAIA,223
Downtown Yonge East,168,2017,Distracted Driving,204
Downtown Yonge East,168,2017,Other HTA,812
Downtown Yonge East,168,2017,Speeding,18
Downtown Yonge East,168,2018,Aggressive Driving,1700
Downtown Yonge East,168,2018,All CAIA,252
Downtown Yonge East,168,2018,Distracted Driving,301
Downtown Yonge East,168,2018,Other HTA,789
Downtown Yonge East,168,2018,Speeding,19
Downtown Yonge East,168,2019,Aggressive Driving,1995
Downtown Yonge East,168,2019,All CAIA,276
Downtown Yonge East,168,2019,Distracted Driving,215
Downtown Yonge East,168,2019,Other HTA,881
Downtown Yonge East,168,2019,Speeding,9
Downtown Yonge East,168,2020,Aggressive Driving,728
Downtown Yonge East,168,2020,All CAIA,116
Downtown Yonge East,168,2020,Distracted Driving,83
Downtown Yonge East,168,2020,Other HTA,466
Downtown Yonge East,168,2020,Speeding,33
Downtown Yonge East,168,2021,Aggressive Driving,741
Downtown Yonge East,168,2021,All CAIA,119
Downtown Yonge East,168,2021,Distracted Driving,84
Downtown Yonge East,168,2021,Other HTA,430
Downtown Yonge East,168,2021,Speeding,22
Downtown Yonge East,168,2022,Aggressive Driving,1103
Downtown Yonge East,168,2022,All CAIA,192
Downtown Yonge East,168,2022,Distracted Driving,115
Downtown Yonge East,168,2022,Other HTA,735
Downtown Yonge East,168,2022,Speeding,29
Downtown Yonge East,168,2023,Aggressive Driving,1313
Downtown Yonge East,168,2023,All CAIA,197
Downtown Yonge East,168,2023,Distracted Driving,157
Downtown Yonge East,168,2023,Other HTA,1245
Downtown Yonge East,168,2023,Speeding,52
Dufferin Grove,83,2014,Aggressive Driving,78
Dufferin Grove,83,2014,All CAIA,44
Dufferin Grove,83,2014,Distracted Driving,13
Dufferin Grove,83,2014,Other HTA,167
Dufferin Grove,83,2014,Speeding,1
Dufferin Grove,83,2015,Aggressive Driving,144
Dufferin Grove,83,2015,All CAIA,93
Dufferin Grove,83,2015,Distracted Driving,27
Dufferin Grove,83,2015,Other HTA,268
Dufferin Grove,83,2015,Speeding,2
Dufferin Grove,83,2016,Aggressive Driving,99
Dufferin Grove,83,2016,All CAIA,67
Dufferin Grove,83,2016,Distracted Driving,33
Dufferin Grove,83,2016,Other HTA,172
Dufferin Grove,83,2016,Speeding,6
Dufferin Grove,83,2017,Aggressive Driving,105
Dufferin Grove,83,2017,All CAIA,53
Dufferin Grove,83,2017,Distracted Driving,32
Dufferin Grove,83,2017,Other HTA,196
Dufferin Grove,83,2017,Speeding,6
Dufferin Grove,83,2018,Aggressive Driving,70
Dufferin Grove,83,2018,All CAIA,47
Dufferin Grove,83,2018,Distracted Driving,17
Dufferin Grove,83,2018,Other HTA,145
Dufferin Grove,83,2018,Speeding,6
Dufferin Grove,83,2019,Aggressive Driving,124
Dufferin Grove,83,2019,All CAIA,53
Dufferin Grove,83,2019,Distracted Driving,27
Dufferin Grove,83,2019,Other HTA,162
Dufferin Grove,83,2019,Speeding,1
Dufferin Grove,83,2020,Aggressive Driving,259
Dufferin Grove,83,2020,All CAIA,79
Dufferin Grove,83,2020,Distracted Driving,15
Dufferin Grove,83,2020,Other HTA,203
Dufferin Grove,83,2020,Speeding,28
Dufferin Grove,83,2021,Aggressive Driving,119
Dufferin Grove,83,2021,All CAIA,49
Dufferin Grove,83,2021,Distracted Driving,8
Dufferin Grove,83,2021,Other HTA,127
Dufferin Grove,83,2021,Speeding,113
Dufferin Grove,83,2022,Aggressive Driving,137
Dufferin Grove,83,2022,All CAIA,34
Dufferin Grove,83,2022,Distracted Driving,14
Dufferin Grove,83,2022,Other HTA,144
Dufferin Grove,83,2022,Speeding,5
Dufferin Grove,83,2023,Aggressive Driving,131
Dufferin Grove,83,2023,All CAIA,37
Dufferin Grove,83,2023,Distracted Driving,15
Dufferin Grove,83,2023,Other HTA,226
Dufferin Grove,83,2023,Speeding,5
East End-Danforth,62,2014,Aggressive Driving,306
East End-Danforth,62,2014,All CAIA,106
East End-Danforth,62,2014,Distracted Driving,62
